name,tags
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40184.TIF,clear habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40191.TIF,partly_cloudy habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40483.TIF,partly_cloudy agriculture water partly_shaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40644.TIF,partly_cloudy habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40741.TIF,partly_cloudy agriculture habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40790.TIF,clear agriculture water partly_shaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40912.TIF,clear agriculture forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40918.TIF,clear agriculture habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_40927.TIF,partly_cloudy bare_ground habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_41097.TIF,partly_cloudy agriculture forest water unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_41150.TIF,clear agriculture habitation forest water unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_41320.TIF,partly_cloudy agriculture bare_ground habitation forest partly_shaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_41354.TIF,partly_cloudy habitation forest partly_shaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_41475.TIF,partly_cloudy agriculture habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_41491.TIF,clear habitation forest unshaded
213589_5531309_2016_07_30_0c42_BGRN_Analytic_metadata_TOA_41501.TIF,clear habitation forest unshaded
213655_5531309_2016_07_30_0c82_BGRN_Analytic_metadata_TOA_40953.TIF,clear agriculture habitation forest unshaded
213655_5531309_2016_07_30_0c82_BGRN_Analytic_metadata_TOA_41292.TIF,partly_cloudy agriculture bare_ground habitation forest water partly_shaded
213655_5531309_2016_07_30_0c82_BGRN_Analytic_metadata_TOA_41327.TIF,partly_cloudy agriculture bare_ground habitation forest water partly_shaded
213655_5531309_2016_07_30_0c82_BGRN_Analytic_metadata_TOA_41380.TIF,clear agriculture bare_ground habitation forest water unshaded
213655_5531309_2016_07_30_0c82_BGRN_Analytic_metadata_TOA_41487.TIF,partly_cloudy agriculture bare_ground forest partly_shaded
213655_5531309_2016_07_30_0c82_BGRN_Analytic_metadata_TOA_41512.TIF,clear habitation forest unshaded
213655_5531309_2016_07_30_0c82_BGRN_Analytic_metadata_TOA_41514.TIF,clear habitation forest water partly_shaded
213851_5531309_2016_07_30_0c60_BGRN_Analytic_metadata_TOA_40818.TIF,cloudy unshaded
213851_5531309_2016_07_30_0c60_BGRN_Analytic_metadata_TOA_40996.TIF,clear agriculture habitation forest water unshaded
213851_5531309_2016_07_30_0c60_BGRN_Analytic_metadata_TOA_41046.TIF,clear agriculture forest water unshaded
213851_5531309_2016_07_30_0c60_BGRN_Analytic_metadata_TOA_41151.TIF,partly_cloudy agriculture bare_ground habitation forest water unshaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_40457.TIF,clear agriculture bare_ground habitation forest water partly_shaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_40582.TIF,clear agriculture habitation forest unshaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_40593.TIF,clear agriculture habitation forest water unshaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_40782.TIF,clear agriculture habitation forest unshaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_40908.TIF,clear agriculture forest water unshaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_40961.TIF,clear habitation forest unshaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_41043.TIF,clear agriculture bare_ground habitation forest water unshaded
215095_5531309_2016_08_02_0c37_BGRN_Analytic_metadata_TOA_41122.TIF,clear agriculture bare_ground forest water unshaded
