name,tags
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_28017.TIF,clear agriculture bare_ground forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_28690.TIF,partly_cloudy agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_28774.TIF,clear agriculture bare_ground forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_28784.TIF,cloudy agriculture unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_29003.TIF,clear agriculture forest shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_29492.TIF,cloudy agriculture unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_29678.TIF,partly_cloudy agriculture bare_ground partly_shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_31935.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_32786.TIF,clear forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_33750.TIF,clear agriculture bare_ground forest partly_shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_34524.TIF,cloudy unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_35250.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_35436.TIF,clear agriculture forest shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_35517.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_35662.TIF,partly_cloudy agriculture bare_ground forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_35679.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_35860.TIF,partly_cloudy agriculture bare_ground partly_shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_36056.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_36083.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_36338.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_36578.TIF,partly_cloudy agriculture bare_ground partly_shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_36922.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_38285.TIF,clear agriculture bare_ground habitation forest partly_shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_38362.TIF,clear agriculture bare_ground unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_39312.TIF,partly_cloudy agriculture bare_ground unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_39333.TIF,clear agriculture bare_ground unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_39722.TIF,clear agriculture forest partly_shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_40042.TIF,clear agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_40204.TIF,clear agriculture bare_ground forest partly_shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_40558.TIF,partly_cloudy agriculture forest shaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_40593.TIF,clear agriculture bare_ground habitation forest water unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_40654.TIF,partly_cloudy agriculture forest unshaded
S2A_MSIL1C_20161208T003702_N0204_R059_T55KCB_20161208T003914_TOA_40847.TIF,clear agriculture forest water unshaded
